Entidad,Municipio,Muertos,Hombre,Mujer,No Identificado,Fuente,Fecha
,,0,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Aguascalientes
(1)",El Llano,0,1,0,0,El Sol del Centro,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Baja California
(3)",Ensenada,1,0,0,1,Zeta Tijuana,2024-09-26
,Tijuana,1,0,1,0,Uniradio Informa,2024-09-26
,Tijuana,1,1,0,0,Uniradio Informa,2024-09-26
"Chihuahua
(9)",Cuauhtemoc,0,0,1,0,"El heraldo de
Chihuahua",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Cuauhtemoc,2,2,0,0,La Polaka,2024-09-26
,"Guadalupe y
Calvo",0,1,0,0,"El Diario de
Chihuahua",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Juarez,1,1,0,0,El Heraldo de Juarez,2024-09-26
,Juarez,1,0,1,0,La Polaka,2024-09-26
,Juarez,1,1,0,0,La Polaka,2024-09-26
,Juarez,1,1,0,0,La Polaka,2024-09-26
,Juarez,1,1,0,0,La Polaka,2024-09-26
"Colima
(4)",Colima,1,1,0,0,Colima Noticias,2024-09-26
,Colima,1,1,0,0,Colima Noticias,2024-09-26
,Comala,1,1,0,0,Diario de Colima,2024-09-26
,Manzanillo,1,1,0,0,Diario de Colima,2024-09-26
"Durango
(2)",Durango,0,0,0,2,El Siglo de Durango,2024-09-26
,,2,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Guanajuato
(11)","Apaseo el
Grande",0,1,0,0,El Sol del Bajio,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,"Dolores
Hidalgo Cuna
de la
Independencia
Nacional",0,1,0,0,Periodico Correo,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Irapuato,1,0,0,1,Guanajuato Informa,2024-09-26
,"Jaral del
Progreso",0,2,0,0,El Sol de Salamanca,2024-09-26
,,2,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Leon,1,1,0,0,El Sol de Leon,2024-09-26
,Salamanca,1,1,0,0,Periodico Correo,2024-09-26
,Salamanca,1,1,0,0,Periodico Correo,2024-09-26
,Salvatierra,1,1,0,0,Periodico Correo,2024-09-26
,Villagran,1,0,1,0,El Sol del Bajio,2024-09-26
,Yuriria,1,1,0,0,AM,2024-09-26
"Guerrero
(1)","Iguala de la
Independencia",0,0,1,0,Quadratin Guerrero,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Jalisco
(5)","San Pedro
Tlaquepaque",0,1,0,0,Guardia Nocturna,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,"San Pedro
Tlaquepaque",0,1,1,0,Guardia Nocturna,2024-09-26
,,2,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,"San Pedro
Tlaquepaque",0,2,0,0,Guardia Nocturna,2024-09-26
,,2,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Mexico
(3)",Chimalhuacan,1,0,1,0,Noventa Grados,2024-09-26
,"Tlalnepantla
de Baz",0,1,0,0,La Prensa,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Toluca,1,1,0,0,La Prensa,2024-09-26
"Morelos
(2)",Jiutepec,1,1,0,0,La Union de Morelos,2024-09-26
,Yautepec,0,1,0,0,"Linea Caliente
Noticias",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Nuevo Leon
(3)",Santa Catarina,2,0,2,0,Milenio,2024-09-26
,Santiago,1,0,0,1,Twitter,2024-09-26
"Oaxaca
(2)","San Jose
Chiltepec",0,0,0,1,"El Pinero de la
Cuenca",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,"Tlacolula de
Matamoros",0,1,0,0,Quadratin Oaxaca,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Puebla
(2)",Chignahuapan,0,2,0,0,"La Jornada de
Oriente",2024-09-26
,,2,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Quintana Roo
(2)",Benito Juarez,1,0,0,1,Noticaribe,2024-09-26
,Benito Juarez,1,1,0,0,Sipse,2024-09-26
"San Luis Potosi
(1)",Matehuala,0,1,0,0,Pulso San Luis Potosi,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Sinaloa
(14)",Concordia,9,9,0,0,El Universal,2024-09-26
,Culiacan,3,0,0,3,Luz Noticias,2024-09-26
,Culiacan,1,1,0,0,Luz Noticias,2024-09-26
,Culiacan,1,1,0,0,Luz Noticias,2024-09-26
"Sonora
(8)",Cajeme,1,1,0,0,Medios Obson,2024-09-26
,Cajeme,1,1,0,0,Tribuna,2024-09-26
,Hermosillo,2,2,0,0,El Sol de Hermosillo,2024-09-26
,Hermosillo,1,0,0,1,El Sol de Hermosillo,2024-09-26
,Hermosillo,2,0,2,0,Uniradio Informa,2024-09-26
,Nogales,1,0,1,0,El Sol de Hermosillo,2024-09-26
"Tabasco
(2)",Cardenas,0,1,0,0,"El Heraldo de
Tabasco",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Nacajuca,0,0,0,1,"El Heraldo de
Tabasco",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Veracruz de
Ignacio de la
Llave
(2)","Gutierrez
Zamora",0,1,0,0,"El Pinero de la
Cuenca",2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
,Jaltipan,0,0,0,1,Diario del Istmo,2024-09-26
,,1,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
"Zacatecas
(3)",Villanueva,0,3,0,0,NTR Zacatecas,2024-09-26
,,3,0,0,0,,2024-09-26
,,0,0,0,0,,2024-09-26
Totales:,,80,55,12,13,,2024-09-26
